id,year,paper,question_no,question_text,word_limit,marks,topic_hint,source_url
11,2022-2023,Science and Technology v5 1 Notes,11,"Site Directed Nuclease Site-Directed Nucleases (SDNs) are specialized enzymes engineered to precisely target and cut specific DNA sequences, enabling targeted genetic modifications. Common types include CRISPR-Cas9, TALENs etc...",,,Site Directed Nuclease,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
12,2022-2023,Science and Technology v5 1 Notes,12,"Genetic Modification (GM) technology GM technology is direct manipulation of the DNA of many organisms, including plants, bacteria, and animals to alter the desired characteristics Major approaches to Genome Editing y Clustered regularly interspaced short palindromic repeats (CRISPR)- associated protein 9 (Cas9) y Homing endonucleases or meganucleases y Site-Directed Nuclease (SDN) GM technology is used for various applications including agriculture (for developing pest-resistant or higher-yielding crops), medicine (producing recombinant drugs, gene therapy) etc. Genetic Modification vs Genome Editing Aspect Genome Editing Genome Modification Precise, targeted Any change or alteration Definition changes to specific made to the DNA sequence. DNA sequences. CRISPR-Cas9, TALENs, Transgenic technology, gene Techniques ZFNs. therapy, random mutagenesis. High; specific gene Varies; can be random or less Precision targeting. specific. May include broader methods Use of engineered like chemica...",,,Genetic Modification (GM) technology,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
13,2022-2023,Science and Technology v5 1 Notes,13,"CRISPR-Cas 9 CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats): CRISPR sequences are part of the bacterial DNA, providing a way for bacteria to recognize and remember specific viruses by incorporating viral DNA into their genomes for future defense....",,,CRISPR-Cas 9,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
14,2022-2023,Science and Technology v5 1 Notes,14,Genome Editing,,,Aspect,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
15,2022-2023,Science and Technology v5 1 Notes,15,"Precise, targeted changes to specific DNA sequences.",,,Definition,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
16,2022-2023,Science and Technology v5 1 Notes,16,"CRISPR-Cas9, TALENs, ZFNs.",,,Techniques,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
17,2022-2023,Science and Technology v5 1 Notes,17,High; specific gene targeting.,,,Precision,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
18,2022-2023,Science and Technology v5 1 Notes,18,Use of engineered nucleases for targeted changes.,,,Methodology,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
19,2022-2023,Science and Technology v5 1 Notes,19,"Generative Artificial Intelligence (AI) y A type of AI that produces diverse content, including text, imagery, audio, and synthetic data. y Models learn from training data patterns to generate new data with similar characteristics. y Examples include ChatGPT, DALL-E, and Bard, which create text or images based on user prompts. India’s Initiatives for Generative AI: y Generative AI Report: Conducted by INDIAai, examining impact, ethical questions, and opportunities. y Global Partnership on AI (GPAI): India joined forces with 15 countries to establish frameworks for responsible AI use. y National Mission on Interdisciplinary Cyber-Physical Systems: Establishes Technology Innovation Hubs for AI and ML at IIT Kharagpur. y AI Research Platform: Cloud computing platform transforming sectors like education, health, agriculture, and urbanisation. Recently, International labour organisation (ILO) report assessed the impact of generative artificial intelligence on job quantity and quality in a s...",,,Generative Artificial Intelligence,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
20,2022-2023,Science and Technology v5 1 Notes,20,"Launch and Members: y Launched in June 2020 with 15 members. Now has 25 member states, including India. y Fills the gap between AI theory and practice. Recently, India has been handed over the presidency Global Partnership on Artificial Intelligence (GPAI) for 2022-23 by the outgoing Council Chair, France in its 3rd Annual Summit in Japan. y GPAI Annual Summit Highlights: Tokyo hosts the summit, the first in Asia. y Key themes: Responsible AI, Data governance, Future of work, Innovation and commercialization....",,,Global Partnership on AI (GPAI),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
21,2022-2023,Science and Technology v5 1 Notes,21,"CRISPR-Cas 9 CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats): CRISPR sequences are part of the bacterial DNA, providing a way for bacteria to recognize and remember specific viruses by incorporating viral DNA into their genomes for future defense. CRISPR-Cas9 Function: The system involves Cas9, a bacterial enzyme guided by RNA, which together have evolved to cut specific DNA sequences, aiding in bacterial immunity against viruses. CRISPR-Cas9 Mechanism: The CRISPR-Cas9 technology works through three main components: y Guide RNA: Engineered to identify the target gene. y Cas9 enzyme: Acts as molecular “scissors” to cut DNA. y DNA insertion: A desired DNA segment is introduced at the cut site....",,,CRISPR-Cas 9,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
22,2022-2023,Science and Technology v5 1 Notes,22,"y Launched in 2015, the National Supercomputing Mission (NSM) is led by the Ministry of Electronics & Information Technology and the Department of Science and Technology, implemented by C-DAC and the Indian Institute of Science, Bangalore. y Achievements: Under NSM, 11 high-performance computing facilities have been established, contributing over 20 Petaflops of power. Notable examples include PARAM Shivay at IIT (BHU) and PARAM Shakti at IIT Kharagpur. y Network: These supercomputers are interconnected via the National Supercomputing Grid. y Focus: NSM focuses on four main areas: Infrastructure, Applications, Research & Development, and Human Resource Development. y India will be get 9 more supercomputers under National Supercomputing Mission...",,,National Supercomputing Mission (NSM),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
23,2022-2023,Science and Technology v5 1 Notes,23,"Darknet y The DarkNet, also known as the Dark Web, is a secretive part of the internet not indexed by standard search engines like Google and inaccessible with regular browsers like Chrome or Safari. y It uses unique communication protocols, making it hidden from ISPs and government monitoring, and requires special browsers like TOR (The Onion Router) for access. y Applications and Concerns: While the DarkNet can be a tool for journalists in restrictive regimes, researchers, and law enforcement, it’s also infamous for illegal activities like drug trading and as a communication channel for terrorists. y Recently, Aadhaar and passport data of 81.5 cr Indians was put on for sale on Darknet....",,,Darknet,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
24,2022-2023,Science and Technology v5 1 Notes,24,"Additive Manufacturing y Additive Manufacturing (AM), or 3D printing, creates three- dimensional objects from a computer-aided design (CAD) model by successively layering materials. y These materials can vary, including thermoplastics, metals, ceramics, and biomaterials. y AM is widely used in various industries such as automotive, consumer products, medical, aerospace, and military, among others. y The Ministry of Electronics & Information Technology (MeitY) have released the National Strategy on Additive Manufacturing....",,,Additive Manufacturing,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
25,2022-2023,Science and Technology v5 1 Notes,25,"Net Neutrality y The concept of Net Neutrality describes that the Internet service providers should treat all online data equally, without favouritism towards specific apps, sites, or services. y Net Neutrality aims to provide users with uniform access to all internet content and services, with TRAI overseeing enforcement in India. y The Net Neutrality debate in India has intensified due to proposals from telecom operators to regulate content delivery networks (CDNs) utilized by major tech firms for local data storage....",,,Net Neutrality,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
26,2022-2023,Science and Technology v5 1 Notes,26,"Geospatial Technology y Geospatial technology encompasses GIS, GPS, and Remote Sensing for mapping and analyzing geographical locations. y Types of Data: It deals with both static (e.g., roads, earthquake locations) and dynamic location data (e.g., moving vehicles, disease spread). y Applications and Impact: This technology aids in creating smart maps and supports decision-making by revealing spatial patterns in large data sets, focusing on resource allocation. y Recently, the Ministry of Science and Technology notified the National Geospatial Policy (NGP) 2022....",,,Geospatial Technology,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
27,2022-2023,Science and Technology v5 1 Notes,27,"Fifth Generation (5G) y 5G combines several technologies, including: y Massive multi-user MIMO (Multiple Input Multiple Output) networks. y Small cell stations, enhancing connectivity between base stations and users. y Mobile Edge Computing, which reduces latency by positioning cloud computing services nearer to the user. y Beamforming, focusing a directed beam from the transmitter to the user for improved signal strength and efficiency....",,,Fifth Generation (5G),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
28,2022-2023,Science and Technology v5 1 Notes,28,"Open Radio Access Network (RAN) y Radio Access Network (RAN) connects end-users to the mobile network, acting as a bridge between devices and the network infrastructure via radio waves. y Open RAN Concept: Open RAN allows flexibility by separating hardware and software components, enabling the use of parts from different suppliers in a network. y Centre for Development of Telematics (C-DOT), WiSig Networks Private Limited and VVDN Technologies Private Limited have signed an agreement for developing 5G Open RAN and other products together....",,,Open Radio Access Network (RAN),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
29,2022-2023,Science and Technology v5 1 Notes,29,"Satellite Communication y Satellite communication involves sending signals from Earth to a satellite in orbit, which then relays these signals back to another location on Earth or to another satellite. y Communication satellites, placed in various Earth orbits (geostationary or others), receive and resend signals, enabling long- distance communication, television, internet, and GPS services. y Ground stations on Earth send and receive communication signals to and from satellites using specialized antennas and equipment, enabling data transfer and connectivity over large areas. y Recently TRAI releases recommendations on ‘Licensing framework for Establishing and Operating for Satellite Earth Station Gateway (SESG)....",,,Satellite Communication,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
30,2022-2023,Science and Technology v5 1 Notes,30,"Radiofrequency Identification (RFID) y Radio-Frequency Identification (RFID) uses electromagnetic fields to automatically identify and track tags attached to objects. y RFID Tags contain electronically stored information, read by a reader using radio waves. This process doesn’t require direct line of sight....",,,Radiofrequency Identification (RFID),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
31,2022-2023,Science and Technology v5 1 Notes,31,"IndiaStack y IndiaStack is a collection of open APIs and digital public goods. y API stands for Application Programming Interface. y An API is a set of rules and protocols for building and interacting with software applications. y It allows different software programs to communicate with each other. y APIs act as a bridge, enabling a secure and defined way for applications to request and share data. y IndiaStack includes APIs of Aadhaar, Unified Payment Interface (UPI), Co-Win, DigiLocker, Aarogya y Setu, eSanjeevani, UMANG, DIKSHA, etc y The IndiaStack Knowledge Exchange 2022 was recently conducted....",,,IndiaStack,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
32,2022-2023,Science and Technology v5 1 Notes,32,"MicroLEDs (Light Emitting Diode) Displays y MicroLEDs (Micro Light Emitting Diodes) are a type of display technology where each pixel is made up of tiny, self-emissive LEDs. y Unlike traditional LED or LCD displays that use a backlight to illuminate pixels, each microLED produces its own light. This results in displays that are brighter, have higher contrast ratios, and are more energy-efficient. y MicroLEDs can also be turned off individually, providing true blacks and vibrant colors, similar to OLEDs but with potentially greater longevity and less risk of burn-in. y Recently various electronic companies are showing their interest in MicroLED (mLED or µLED) display technology....",,,MicroLEDs (Light Emitting Diode) Displays,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
33,2022-2023,Science and Technology v5 1 Notes,33,"Quantum Coherence y Quantum coherence is the ability of a quantum state to keep its entanglement and superposition stable, even when it interacts with its environment. This is based on the concept that everything has wave-like properties....",,,Quantum Coherence,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
34,2022-2023,Science and Technology v5 1 Notes,34,Up to 100m,,,Range,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
35,2022-2023,Science and Technology v5 1 Notes,35,Tag and Reader,,,Connectivity,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
36,2022-2023,Science and Technology v5 1 Notes,36,"Tracking, ID",,,Usage,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
37,2022-2023,Science and Technology v5 1 Notes,37,Passive or Active,,,Power Source,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
38,2022-2023,Science and Technology v5 1 Notes,38,Up to 10 Gbps,,,Speed,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
39,2022-2023,Science and Technology v5 1 Notes,39,1 millisecond,,,Latency,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
40,2022-2023,Science and Technology v5 1 Notes,40,Sub-6 GHz and mmWave (up to 300 GHz),,,Frequency Band,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
41,2022-2023,Science and Technology v5 1 Notes,41,Supports massive device connectivity,,,Capacity,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
42,2022-2023,Science and Technology v5 1 Notes,42,"Enhanced mobile broadband, IoT, industrial automation",,,Applications,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
43,2022-2023,Science and Technology v5 1 Notes,43,"Advanced MIMO, beamforming, small cells",,,Technology,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
44,2022-2023,Science and Technology v5 1 Notes,44,"National Quantum Mission y The National Quantum Mission in India was recently approved by the cabinet, with a budget of around Rs. 6000 crores. y National Quantum Mission is by the Department of Science & Technology, this mission, running from 2023 to 2031, aims to stimulate and escalate R&D in Quantum Technology, fostering a robust and innovative QT ecosystem. y The mission’s objectives include developing quantum computers with 50-1000 qubits in 8 years, establishing satellite-based secure quantum communications over 2000 km, and exploring high-sensitivity magnetometers, advanced atomic clocks, quantum materials for device fabrication, and single-photon sources/detectors....",,,National Quantum Mission,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
45,2022-2023,Science and Technology v5 1 Notes,45,"Edge Computing y Edge computing involves processing data near the source of data generation (like IoT devices), rather than relying on a centralised data-processing warehouse. y By processing data locally, it reduces latency, increases speed, and improves the responsiveness of applications needing real-time analysis. y Ideal for situations requiring immediate data processing, such as in autonomous vehicles, smart cities, and healthcare monitoring systems. y It enables more efficient data management and can enhance security by localizing data processing, reducing the risk of data interception during transmission....",,,Edge computing,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
46,2022-2023,Science and Technology v5 1 Notes,46,"Narrowband-IoT y Narrowband-IoT devices are designed for minimal energy use, extending battery life for months or even years, making it ideal for remote or unpowered sensor deployments. y It operates on existing cellular networks and is optimized for providing wide coverage with deep penetration, particularly in rural areas and inside buildings. y They are suited for transmitting small amounts of data with low bandwidth requirements, NB-IoT is perfect for applications like smart meters, agricultural sensors, and wearables....",,,Narrowband- IoT,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
47,2022-2023,Science and Technology v5 1 Notes,47,"mmWave (Millimeter Wave band) y mmWave refers to the radio frequency spectrum between 30 GHz and 300 GHz, corresponding to wavelengths between 1 to 10 millimeters. y These high-frequency bands are known for their high bandwidth and capacity....",,,mmWave (Millimeter Wave band),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
48,2022-2023,Science and Technology v5 1 Notes,48,"Juice jacking y Juice Jacking is a type of cyber attack involving a charging port that doubles as a data connection, typically over USB. This attack can occur in public charging stations, like those in airports or hotels, where attackers tamper with the charging port to steal data from or install malware on a connected device. y When a device is plugged into a compromised charging port, attackers can either illicitly access data on the device or upload malicious software....",,,Juice jacking,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
49,2022-2023,Science and Technology v5 1 Notes,49,"IPv4 vs IPv6 Feature IPv4 IPv6 Address Size 32-bit 128-bit Dotted decimal format Hexadecimal format Address Format (e.g., 192.0.2.1) (e.g., 2001:0db8:85a3::) Number of Approximately 3.4 x Approximately 4.3 billion Addresses 10^38 Smaller packet headers Larger packet headers Packet Size (20-60 bytes) (40 bytes + extensions) Automatic and simpler Configuration Manual setup or via DHCP with address auto- configuration Security protocols IPsec (Internet Protocol Security applied externally Security) built-in...",,,IPv4 vs IPv6,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
50,2022-2023,Science and Technology v5 1 Notes,50,"A new report has shown that Metaverse users will surpass 600 million by 2026 due to generative artificial intelligence (AI). About Metaverse y Origin of the term: The term “metaverse” first appeared in author Neal Stephenson’s 1992 science-fiction novel Snowcrash, which describes a future where millions of people use virtual avatars to participate in a cyberspace realm. y Metaverse refers to a virtual or digital universe where people can interact with each other and digital objects in a shared online space....",,,Metaverse,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
51,2022-2023,Science and Technology v5 1 Notes,51,"Dotted decimal format (e.g., 192.0.2.1)",,,Address Format,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
52,2022-2023,Science and Technology v5 1 Notes,52,Approximately 4.3 billion,,,Number of Addresses,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
53,2022-2023,Science and Technology v5 1 Notes,53,Smaller packet headers (20-60 bytes),,,Packet Size,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
54,2022-2023,Science and Technology v5 1 Notes,54,Manual setup or via DHCP,,,Configuration,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
55,2022-2023,Science and Technology v5 1 Notes,55,Security protocols applied externally,,,Security,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
56,2022-2023,Science and Technology v5 1 Notes,56,"y It is an enhanced version of the real physical world that is achieved through the use of digital visual elements, sound, or other sensory stimuli and delivered via technology. y It overlays digital content onto real-life environments and objects. y AR works by superimposing digital information onto real-world objects to create a 3D experience that allows users to interact with both the physical and digital worlds. y Unlike Virtual Reality (VR), which creates its own cyber environment, AR adds to the existing world as it is....",,,Augmented Reality (AR),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
57,2022-2023,Science and Technology v5 1 Notes,57,"y It is a simulated 3D environment that enables users to explore and interact with virtual surroundings in a way that approximates reality as it is perceived through the users› senses. y The environment is created with computer hardware and software, and the users need to wear devices such as helmets or goggles (Virtual Reality headsets for helmets) to interact with the environment....",,,Virtual Reality (VR),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
58,2022-2023,Science and Technology v5 1 Notes,58,"y Generative AI is a type of artificial intelligence (AI) that can create new content, such as text, images, or music. y Generative AI models learn the patterns and structure of their input training data by applying neural network machine learning techniques, and then generate new data that has similar characteristics....",,,Generative artificial intelligence (AI),file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
59,2022-2023,Science and Technology v5 1 Notes,59,"y Prime Minister Narendra Modi is to unveil a hologram statue of Netaji Subhash Chandra Bose near India Gate in Delhi. y The statue is to be unveiled on Netaji’s 125th birth anniversary. His birth anniversary falls on January 23rd y The hologram technology projects an image. The image is projected is such a way that, it looks so realistic. Also, the image appears 3D. It is a process that creates three-dimensional images called holograms. y This is done using laser beams, the properties of interference and diffraction, light intensity recording, and illumination of the recording. y The images created so change according to the relative position of the individual viewer as if the objects displayed are actually present. y This technology uses projectors to create a virtual three dimensional image. In simple terms, a hologram is just a projection that seems realistic. y Unlike a conventional film on a standard screen, a 3D hologram can be viewed from all sides. This means that the observer...",,,Hologram,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
60,2022-2023,Science and Technology v5 1 Notes,60,"Shortest Day Record: On July 29, 2022, Earth completed a full spin 1.59 milliseconds faster than its standard 24 hours. Earth’s Spin Dynamics: y Possible reasons for increased speed include changes in the core, oceans, tides, or climate. y Earth’s spin is generally slowing down, but recent years have seen a slight acceleration. Leap Seconds: y Introduced to counteract long-term slowdown caused by melting and refreezing of ice caps. y International Earth Rotation and Reference Systems Service introduced leap seconds in 1972. y 27 leap seconds added since then, with the last one on December 31, 2016. Negative Leap Seconds: y May be necessary if Earth continues to rotate faster, maintaining consistency with atomic clocks. y Atomic clocks ensure precise time measurement with an error of 1 second in up to 100 million years. Challenges: y Introduction of negative leap seconds can create confusion in smartphones, computers, and communication systems....",,,Earth Records Shortest Day,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
61,2022-2023,Science and Technology v5 1 Notes,61,"Gaganyaan Mission y Indian Space Research Organisation (ISRO) successfully demonstrated the Test Vehicle Abort Mission -1 (TV D1 mission), the first uncrewed developmental flight of ‘Gaganyaan’ human spaceflight mission. y Under the Gaganyaan schedule- three flights will be sent into orbit. There will be two unmanned flights and one human spaceflight. y The success of the Gaganyaan Mission will put India in the elite group of nations (US, Russia, and China) having human space flight capability. Objectives: y To undertake human space flights: Its immediate aim is to demonstrate indigenous capability to undertake human space flights. y Space exploration: In the long run, it will lay the foundation for a sustained Indian human space exploration programme. Launch: y GSLV Mk III, also called the LVM-3 (Launch Vehicle Mark-3,) the three-stage heavy lift launch vehicle, will be used to launch Gaganyaan as it has the necessary payload capability....",,,Gaganyaan,file:///Users/harshvardhanjha/upsc-news-digest/docs/Science-and-Technology_v5-1.pdf
